Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	30.534	32.006	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	30.734	32.006	0	2	27	0.201	0.201	NA	0.201	NA	0	NA
3	1	3	30.734	31.738	0	2	37	0.468	0.335	NA	0.268	NA	-90	-90
4	1	4	30.734	31.738	0	2	0	0.468	0.335	NA	0	NA	0	90
5	1	5	30.935	31.805	0	2	0	0.68	0.449	NA	0.212	NA	18.435	18.435
6	1	6	31.002	31.604	0	2	0	0.892	0.617	NA	0.212	NA	-71.565	-90
7	1	7	31.002	31.471	0	2	18	1.026	0.711	NA	0.134	NA	-90	-18.435
8	1	8	31.002	31.471	0	2	0	1.026	0.711	NA	0	NA	0	90
9	1	9	30.667	31.404	0	2	0	1.367	0.617	NA	0.341	NA	-168.69	-168.69
10	1	10	30.667	31.404	0	2	0	1.367	0.617	NA	0	NA	0	168.69
11	1	11	30.734	31.27	0	2	18	1.516	0.763	NA	0.15	NA	-63.435	-63.435
12	1	12	30.734	31.337	0	2	9	1.583	0.699	NA	0.067	NA	90	153.435
13	1	13	30.601	31.404	0	2	9	1.733	0.606	NA	0.15	NA	153.435	63.435
14	1	14	30.534	31.404	0	2	18	1.8	0.602	NA	0.067	NA	180	26.565
15	1	15	30.601	30.534	0	2	0	2.673	1.474	NA	0.873	NA	-85.601	94.399
16	1	16	31.002	30.467	0	2	0	3.08	1.609	NA	0.407	NA	-9.462	76.139
17	1	17	30.667	30.467	0	2	0	3.414	1.545	NA	0.335	NA	180	-170.538
18	2	1	29.463	30.199	0	2	0	0	0	NA	NA	NA	NA	NA
19	2	2	30.132	30.266	0	2	18	0.673	0.673	NA	0.673	NA	5.711	NA
20	2	3	30.734	30.333	0	2	9	1.279	1.279	NA	0.606	NA	6.34	0.63
21	2	4	30.199	30.199	0	2	9	1.83	0.736	NA	0.552	NA	-165.964	-172.304
22	2	5	30.601	30.467	0	2	0	2.313	1.169	NA	0.483	NA	33.69	-160.346
23	2	6	31.002	30.601	0	2	9	2.736	1.591	NA	0.423	NA	18.435	-15.255
24	2	7	30.601	30.667	0	2	0	3.143	1.23	NA	0.407	NA	170.538	152.103
25	2	8	30.266	30.601	0	2	0	3.485	0.898	NA	0.341	NA	-168.69	20.772
26	2	9	30.935	30.868	0	2	18	4.205	1.617	NA	0.721	NA	21.801	-169.509
27	2	10	30.734	30.868	0	2	18	4.406	1.437	NA	0.201	NA	180	158.199
28	2	11	31.203	31.337	0	2	0	5.069	2.079	NA	0.663	NA	45	-135
29	2	12	31.203	31.537	0	2	0	5.269	2.195	NA	0.201	NA	90	45
30	2	13	30.801	31.069	0	2	0	5.886	1.596	NA	0.617	NA	-130.601	139.399
31	2	14	29.664	30.065	0	2	0	7.404	0.241	NA	1.517	NA	-138.576	-7.975
32	2	15	29.463	29.931	0	2	0	7.645	0.268	NA	0.241	NA	-146.31	-7.734
33	3	1	25.113	26.786	0	2	0	0	0	NA	NA	NA	NA	NA
34	3	2	25.849	27.121	0	2	0	0.809	0.809	NA	0.809	NA	24.444	NA
35	3	3	26.317	27.723	0	2	0	1.572	1.526	NA	0.763	NA	52.125	27.681
36	3	4	26.719	28.124	0	2	0	2.14	2.091	NA	0.568	NA	45	-7.125
37	3	5	26.652	27.991	0	2	0	2.289	1.955	NA	0.15	NA	-116.565	-161.565
38	3	6	26.384	27.991	0	2	0	2.557	1.752	NA	0.268	NA	180	-63.435
39	3	7	26.451	28.057	0	2	9	2.652	1.846	NA	0.095	NA	45	-135
40	3	8	26.251	27.857	0	2	9	2.935	1.562	NA	0.284	NA	-135	-180
41	3	9	26.317	28.124	0	2	9	3.211	1.801	NA	0.276	NA	75.964	-149.036
42	3	10	26.652	28.191	0	2	0	3.553	2.084	NA	0.341	NA	11.31	-64.654
43	3	11	26.518	28.258	0	2	18	3.702	2.035	NA	0.15	NA	153.435	142.125
44	3	12	26.317	28.727	0	2	0	4.212	2.284	NA	0.51	NA	113.199	-40.236
45	3	13	26.652	28.727	0	2	0	4.547	2.477	NA	0.335	NA	0	-113.199
